recorded_at_utc	git_commit	git_branch	cv_log_loss	delta	best_epoch	status	description	cv_rps	val_log_loss	test_log_loss	cv_metrics_json	test_metrics_json
2026-03-08T14:34:18.297598+00:00	e6d9faf	codex/eval-harness-lockdown	0.971252		1	keep	eval-harness-lockdown	0.196006	0.965712	0.973130	"{""accuracy"":0.542865315318139,""avg_profit"":0.06022268598912847,""brier"":0.577549632607307,""log_loss"":0.9712522800425143,""n_bets"":208.0,""rps"":0.19600581204191855,""total_profit"":14.39}"	"{""accuracy"":0.5385375494071146,""avg_profit"":0.03289017341040463,""brier"":0.5788444715415397,""log_loss"":0.9731296175910481,""n_bets"":173,""rps"":0.1955838986732598,""total_profit"":5.690000000000001}"
2026-03-08T15:15:22.890182+00:00	51ed55f	experiment/shared-gate	0.971235	0.000017	1	discard	shared-gate	0.196014	0.966022	0.972998	"{""accuracy"":0.5424428396104921,""avg_profit"":0.06239493177387914,""brier"":0.5775622347524977,""log_loss"":0.9712349424901356,""n_bets"":263.0,""rps"":0.19601383416814497,""total_profit"":17.196666666666665}"	"{""accuracy"":0.5385375494071146,""avg_profit"":0.21363636363636362,""brier"":0.5787484220041605,""log_loss"":0.9729980619753632,""n_bets"":110,""rps"":0.19553208292465202,""total_profit"":23.5}"
2026-03-08T15:17:08.606910+00:00	96e3db4	experiment/shared-gate-no-sum-r5	0.971112	0.000123	1	discard	shared-gate-no-sum-r5	0.195979	0.965050	0.973007	"{""accuracy"":0.5422218216689275,""avg_profit"":-0.007935151268484616,""brier"":0.5774482435519919,""log_loss"":0.9711119614879654,""n_bets"":130.33333333333334,""rps"":0.19597948470076995,""total_profit"":20.53}"	"{""accuracy"":0.5405138339920948,""avg_profit"":0.12492822966507176,""brier"":0.5788067864059597,""log_loss"":0.9730072557263141,""n_bets"":209,""rps"":0.195498953127157,""total_profit"":26.11}"
2026-03-08T15:18:41.239851+00:00	29a5a9a	experiment/shared-gate-no-sum-r5-no-adj-r10	0.971011	0.000101	2	discard	shared-gate-no-sum-r5-no-adj-r10	0.195931	0.965384	0.972832	"{""accuracy"":0.5407265378032531,""avg_profit"":-0.02083606272875641,""brier"":0.5773400127632944,""log_loss"":0.9710113399568439,""n_bets"":644.0,""rps"":0.1959305063135297,""total_profit"":-13.410000000000002}"	"{""accuracy"":0.5434782608695652,""avg_profit"":0.08239819004524887,""brier"":0.5784295642283908,""log_loss"":0.972831648378849,""n_bets"":442,""rps"":0.19530921918018676,""total_profit"":36.42}"
2026-03-08T15:21:54.167698+00:00	147b83a	experiment/shared-gate-lean-no-cat	0.970824	0.000188	2	discard	shared-gate-lean-no-cat	0.195916	0.965603	0.973081	"{""accuracy"":0.5417824596826817,""avg_profit"":0.037034628012596466,""brier"":0.5771365685890283,""log_loss"":0.9708237274253876,""n_bets"":682.3333333333334,""rps"":0.1959164141243651,""total_profit"":10.78666666666667}"	"{""accuracy"":0.5405138339920948,""avg_profit"":0.013882863340563989,""brier"":0.5786878570323606,""log_loss"":0.9730810909102595,""n_bets"":461,""rps"":0.1954032929514271,""total_profit"":6.399999999999999}"
2026-03-08T15:23:32.576912+00:00	865195f	experiment/shared-gate-lean-no-cat-linear-gate	0.970809	0.000015	2	discard	shared-gate-lean-no-cat-linear-gate	0.195893	0.965124	0.973435	"{""accuracy"":0.5415217866107748,""avg_profit"":0.012531556399988208,""brier"":0.5771577541041871,""log_loss"":0.9708088804925924,""n_bets"":668.3333333333334,""rps"":0.19589312309705456,""total_profit"":-6.856666666666665}"	"{""accuracy"":0.5365612648221344,""avg_profit"":0.003867187499999994,""brier"":0.5789425046057401,""log_loss"":0.9734350363318897,""n_bets"":512,""rps"":0.1956027765731289,""total_profit"":1.9799999999999969}"
2026-03-08T15:40:17.218557+00:00	cb506c9	experiment/gate-budget-032	0.970794	0.000014	2	discard	gate-budget-032	0.195880	0.965234	0.973485	"{""accuracy"":0.5419632877145276,""avg_profit"":0.011455068309600885,""brier"":0.577142927523549,""log_loss"":0.9707944633693509,""n_bets"":698.3333333333334,""rps"":0.19587973710491588,""total_profit"":-6.636666666666666}"	"{""accuracy"":0.5385375494071146,""avg_profit"":0.014339622641509423,""brier"":0.5789709210743254,""log_loss"":0.9734852206466816,""n_bets"":530,""rps"":0.19561411020349276,""total_profit"":7.599999999999994}"
2026-03-08T15:41:26.294915+00:00	ab1fffa	experiment/gate-mean-high	0.970790	0.000005	2	discard	gate-mean-high	0.195878	0.965266	0.973490	"{""accuracy"":0.5419632877145276,""avg_profit"":0.014817751282501587,""brier"":0.5771361230084766,""log_loss"":0.9707898426910724,""n_bets"":705.0,""rps"":0.1958780341919454,""total_profit"":-4.423333333333332}"	"{""accuracy"":0.5385375494071146,""avg_profit"":0.007969639468690701,""brier"":0.5789718269836248,""log_loss"":0.9734900853109059,""n_bets"":527,""rps"":0.19561439651248813,""total_profit"":4.199999999999999}"
2026-03-08T15:47:12.054472+00:00	3e01c5b	experiment/wd-1e4	0.970790	0.000000	2	discard	wd-1e4	0.195878	0.965266	0.973490	"{""accuracy"":0.5419632877145276,""avg_profit"":0.014817751282501587,""brier"":0.5771360986605808,""log_loss"":0.9707898152194533,""n_bets"":705.0,""rps"":0.19587802563982204,""total_profit"":-4.423333333333332}"	"{""accuracy"":0.5385375494071146,""avg_profit"":0.007969639468690701,""brier"":0.5789718188865574,""log_loss"":0.9734900938655999,""n_bets"":527,""rps"":0.19561439534945005,""total_profit"":4.199999999999999}"
2026-03-08T15:56:42.152910+00:00	1a46ab5	experiment/no-season-progress	0.970301	0.000489	2	discard	no-season-progress	0.195820	0.965547	0.973725	"{""accuracy"":0.5413213984034462,""avg_profit"":0.0518022421026594,""brier"":0.5768570774335731,""log_loss"":0.9703011031171437,""n_bets"":776.0,""rps"":0.19582012878160768,""total_profit"":24.8}"	"{""accuracy"":0.5424901185770751,""avg_profit"":0.030018867924528275,""brier"":0.5790856489947104,""log_loss"":0.9737252599397999,""n_bets"":530,""rps"":0.19559601665920498,""total_profit"":15.909999999999986}"
