,team,from,to,elo
4105,Bayern,2013-12-15,2014-01-24,2082.9753418
4106,Bayern,2014-01-25,2014-01-29,2086.74731445
4107,Bayern,2014-01-30,2014-02-02,2087.96582031
4108,Bayern,2014-02-03,2014-02-08,2089.98876953
4109,Bayern,2014-02-09,2014-02-15,2091.94580078
4110,Bayern,2014-02-16,2014-02-18,2093.43505859
4111,Bayern,2014-02-19,2014-02-19,2086.82299805
4112,Bayern,2014-02-20,2014-02-20,2093.03442383
4113,Bayern,2014-02-21,2014-02-23,2094.76586914
4114,Bayern,2014-02-24,2014-02-25,2097.38598633
4115,Bayern,2014-02-26,2014-02-26,2099.83398438
4116,Bayern,2014-02-27,2014-02-27,2098.16064453
4117,Bayern,2014-02-28,2014-03-01,2094.76025391
4118,Bayern,2014-03-02,2014-03-08,2098.1027832
4119,Bayern,2014-03-09,2014-03-11,2102.46655273
4120,Bayern,2014-03-12,2014-03-12,2101.4152832
4121,Bayern,2014-03-13,2014-03-15,2101.50146484
4122,Bayern,2014-03-16,2014-03-18,2102.93115234
4123,Bayern,2014-03-19,2014-03-19,2102.89038086
4124,Bayern,2014-03-20,2014-03-22,2101.98925781
4125,Bayern,2014-03-23,2014-03-25,2104.43823242
4126,Bayern,2014-03-26,2014-03-29,2106.15869141
4127,Bayern,2014-03-30,2014-04-01,2097.44799805
4128,Bayern,2014-04-02,2014-04-02,2096.46972656
4129,Bayern,2014-04-03,2014-04-05,2094.30395508
4130,Bayern,2014-04-06,2014-04-08,2078.41601562
4131,Bayern,2014-04-09,2014-04-09,2079.27685547
4132,Bayern,2014-04-10,2014-04-12,2086.08447266
4133,Bayern,2014-04-13,2014-04-19,2062.06835938
4134,Bayern,2014-04-20,2014-04-23,2063.34350586
4135,Bayern,2014-04-24,2014-04-26,2056.69921875
4136,Bayern,2014-04-27,2014-04-29,2058.03051758
4137,Bayern,2014-04-30,2014-05-03,2034.67285156
4138,Bayern,2014-05-04,2014-05-10,2036.89074707
4139,Bayern,2014-05-11,2014-07-31,2037.70324707
4140,Bayern,2014-08-01,2014-08-07,2038.06408691
4141,Bayern,2014-08-08,2014-08-19,2030.00463867
4142,Bayern,2014-08-20,2014-08-21,2030.83435059
4143,Bayern,2014-08-22,2014-08-22,2030.95898438
4144,Bayern,2014-08-23,2014-08-27,2032.69421387
4145,Bayern,2014-08-28,2014-08-28,2033.41723633
4146,Bayern,2014-08-29,2014-08-30,2033.66540527
4147,Bayern,2014-08-31,2014-09-13,2028.7331543
4148,Bayern,2014-09-14,2014-09-16,2029.83728027
4149,Bayern,2014-09-17,2014-09-17,2029.14868164
4150,Bayern,2014-09-18,2014-09-18,2037.06762695
4151,Bayern,2014-09-19,2014-09-20,2033.76049805
4152,Bayern,2014-09-21,2014-09-23,2025.5871582
4153,Bayern,2014-09-24,2014-09-27,2026.91162109
4154,Bayern,2014-09-28,2014-09-30,2029.25146484
4155,Bayern,2014-10-01,2014-10-01,2030.18237305
4156,Bayern,2014-10-02,2014-10-02,2036.1973877
4157,Bayern,2014-10-03,2014-10-04,2033.64990234
4158,Bayern,2014-10-05,2014-10-18,2035.64501953
4159,Bayern,2014-10-19,2014-10-21,2037.39086914
4160,Bayern,2014-10-22,2014-10-22,2052.93261719
4161,Bayern,2014-10-23,2014-10-23,2059.43579102
4162,Bayern,2014-10-24,2014-10-25,2063.67041016
4163,Bayern,2014-10-26,2014-10-26,2063.67041016
4164,Bayern,2014-10-27,2014-11-01,2058.16552734
4165,Bayern,2014-11-02,2014-11-04,2060.70117188
4166,Bayern,2014-11-05,2014-11-05,2065.10791016
4167,Bayern,2014-11-06,2014-11-06,2063.08520508
4168,Bayern,2014-11-07,2014-11-08,2066.17578125
4169,Bayern,2014-11-09,2014-11-22,2069.37963867
4170,Bayern,2014-11-23,2014-11-25,2071.42773438
4171,Bayern,2014-11-26,2014-11-26,2052.99316406
4172,Bayern,2014-11-27,2014-11-27,2045.52844238
4173,Bayern,2014-11-28,2014-11-29,2041.99255371
4174,Bayern,2014-11-30,2014-12-06,2043.50061035
4175,Bayern,2014-12-07,2014-12-09,2045.44702148
