Unnamed: 0_level_0,Combined Payroll,Combined Payroll,Inlfation (2023),By Position,By Position,By Position,By Position
Club,"Gross P/W (EUR, 000's)","Gross P/Y (EUR, 000's)","Adj. Gross (EUR, 000's)","Keeper (EUR, 000's)","Defense (EUR, 000's)","Midfield (EUR, 000's)","Forward (EUR, 000's)"
Manchester United,"€ 3,215","€ 167,163","€ 201,365","€ 11,849","€ 47,214","€ 34,150","€ 73,950"
Manchester City,"€ 2,760","€ 143,525","€ 172,891","€ 11,120","€ 47,084","€ 53,602","€ 31,719"
Chelsea,"€ 2,352","€ 122,301","€ 147,324","€ 14,918","€ 34,028","€ 29,470","€ 43,886"
Arsenal,"€ 2,128","€ 110,633","€ 133,268","€ 8,288","€ 26,369","€ 45,654","€ 30,321"
Liverpool,"€ 1,838","€ 95,552","€ 115,102","€ 4,254","€ 32,995","€ 27,344","€ 30,960"
Tottenham,"€ 1,521","€ 79,066","€ 95,243","€ 8,856","€ 21,355","€ 19,931","€ 28,924"
Everton,"€ 1,135","€ 58,998","€ 71,069","€ 3,573","€ 19,068","€ 14,863","€ 21,493"
West Ham,"€ 1,022","€ 53,164","€ 64,041","€ 2,613","€ 12,551","€ 21,715","€ 16,285"
QPR,"€ 1,014","€ 52,714","€ 63,499","€ 1,549","€ 14,645","€ 16,614","€ 19,905"
Southampton,€ 955,"€ 49,675","€ 59,838","€ 4,254","€ 14,658","€ 14,790","€ 15,973"
Sunderland,€ 886,"€ 46,048","€ 55,469","€ 3,646","€ 13,915","€ 12,232","€ 16,255"
Hull City,€ 827,"€ 42,997","€ 51,794","€ 2,953","€ 13,186","€ 12,761","€ 14,097"
Stoke City,€ 825,"€ 42,921","€ 51,702","€ 2,582","€ 14,550","€ 12,025","€ 13,763"
West Bromwich,€ 798,"€ 41,472","€ 49,957","€ 4,314","€ 12,882","€ 15,556","€ 8,720"
Leicester,€ 745,"€ 38,747","€ 46,674","€ 4,837","€ 11,555","€ 10,841","€ 11,515"
Aston Villa,€ 745,"€ 38,740","€ 46,667","€ 5,590","€ 11,530","€ 12,791","€ 8,829"
Newcastle,€ 724,"€ 37,657","€ 45,362","€ 3,236","€ 12,162","€ 14,426","€ 7,834"
Crystal Palace,€ 712,"€ 37,048","€ 44,628","€ 2,552","€ 9,419","€ 11,150","€ 13,927"
Swansea,€ 675,"€ 35,079","€ 42,256","€ 3,190","€ 9,905","€ 6,251","€ 15,733"
Burnley,€ 350,"€ 18,210","€ 21,936","€ 1,732","€ 6,663","€ 4,533","€ 5,283"
Total,"€ 25,227","€ 1,311,710","€ 1,580,085","€ 105,906","€ 385,734","€ 390,699","€ 429,372"
