Unnamed: 0_level_0,Combined Payroll,Combined Payroll,Inlfation (2023),By Position,By Position,By Position,By Position
Club,"Gross P/W (EUR, 000's)","Gross P/Y (EUR, 000's)","Adj. Gross (EUR, 000's)","Keeper (EUR, 000's)","Defense (EUR, 000's)","Midfield (EUR, 000's)","Forward (EUR, 000's)"
PSG,"€ 2,077","€ 108,010","€ 124,818","€ 8,690","€ 38,050","€ 26,870","€ 34,400"
Lyon,€ 713,"€ 37,100","€ 42,873","€ 1,620","€ 11,100","€ 14,860","€ 9,520"
Monaco,€ 633,"€ 32,940","€ 38,066","€ 2,090","€ 11,960","€ 10,300","€ 8,590"
Marseille,€ 508,"€ 26,390","€ 30,497","€ 3,290","€ 5,590","€ 8,050","€ 9,460"
Bordeaux,€ 428,"€ 22,250","€ 25,712","€ 1,980","€ 7,980","€ 8,110","€ 4,180"
Lille,€ 378,"€ 19,630","€ 22,685","€ 1,910","€ 5,420","€ 6,140","€ 6,160"
St-Etienne,€ 319,"€ 16,570","€ 19,148","€ 1,200","€ 6,620","€ 4,600","€ 4,150"
Montpellier,€ 262,"€ 13,600","€ 15,716","€ 1,160","€ 4,010","€ 4,680","€ 3,750"
Reims,€ 243,"€ 12,610","€ 14,572","€ 1,160","€ 4,020","€ 2,810","€ 4,620"
Rennes,€ 224,"€ 11,630","€ 13,440","€ 1,370","€ 3,460","€ 3,870","€ 2,930"
Nice,€ 213,"€ 11,100","€ 12,827",€ 780,"€ 3,380","€ 3,680","€ 3,260"
Lorient,€ 211,"€ 10,990","€ 12,700",€ 660,"€ 3,430","€ 4,690","€ 2,210"
Caen,€ 203,"€ 10,530","€ 12,169",€ 930,"€ 3,890","€ 2,870","€ 2,840"
Toulouse,€ 188,"€ 9,790","€ 11,313",€ 280,"€ 3,730","€ 2,280","€ 3,500"
Nantes,€ 181,"€ 9,430","€ 10,897",€ 840,"€ 2,790","€ 4,490","€ 1,310"
Troyes,€ 173,"€ 8,980","€ 10,377",€ 810,"€ 3,170","€ 3,850","€ 1,150"
Bastia,€ 169,"€ 8,810","€ 10,181",€ 640,"€ 3,170","€ 1,870","€ 3,130"
Guingamp,€ 155,"€ 8,050","€ 9,303",€ 590,"€ 3,520","€ 1,610","€ 2,330"
Angers,€ 142,"€ 7,380","€ 8,528",€ 460,"€ 2,620","€ 2,280","€ 2,020"
Gazelec Ajaccio,€ 118,"€ 6,150","€ 7,107",€ 260,"€ 1,520","€ 2,380","€ 1,990"
Total,"€ 7,538","€ 391,940","€ 452,929","€ 30,720","€ 129,430","€ 120,290","€ 111,500"
