Unnamed: 0_level_0,Combined Payroll,Combined Payroll,Inlfation (2023),By Position,By Position,By Position,By Position
Club,"Gross P/W (EUR, 000's)","Gross P/Y (EUR, 000's)","Adj. Gross (EUR, 000's)","Keeper (EUR, 000's)","Defense (EUR, 000's)","Midfield (EUR, 000's)","Forward (EUR, 000's)"
Bayern Munich,"€ 4,060","€ 211,120","€ 232,549","€ 23,100","€ 60,920","€ 36,500","€ 90,600"
Borussia Dortmund,"€ 2,290","€ 119,090","€ 131,178","€ 4,630","€ 29,690","€ 35,150","€ 49,620"
Leipzig,"€ 1,366","€ 71,050","€ 78,262","€ 5,630","€ 24,250","€ 14,240","€ 26,930"
Wolfsburg,"€ 1,334","€ 69,370","€ 76,411","€ 4,930","€ 21,600","€ 19,100","€ 23,740"
Monchengladbach,"€ 1,093","€ 56,850","€ 62,620","€ 4,910","€ 13,640","€ 12,040","€ 26,260"
Schalke 04,€ 974,"€ 50,630","€ 55,769","€ 1,620","€ 16,640","€ 18,490","€ 13,880"
Hertha Berlin,€ 938,"€ 48,790","€ 53,742","€ 3,020","€ 9,730","€ 10,370","€ 25,670"
Bayer Leverkusen,€ 914,"€ 47,550","€ 52,376","€ 2,310","€ 13,920","€ 12,740","€ 18,580"
Eintracht Frankfurt,€ 867,"€ 45,070","€ 49,645","€ 5,720","€ 11,260","€ 15,850","€ 12,240"
Hoffenheim,€ 861,"€ 44,760","€ 49,303","€ 3,950","€ 9,470","€ 14,660","€ 16,680"
Koln,€ 774,"€ 40,260","€ 44,346","€ 4,080","€ 10,510","€ 12,450","€ 13,220"
Werder Bremen,€ 757,"€ 39,380","€ 43,377","€ 3,100","€ 14,610","€ 8,400","€ 13,270"
Augsburg,€ 534,"€ 27,790","€ 30,611","€ 2,230","€ 10,030","€ 6,270","€ 9,260"
Mainz,€ 489,"€ 25,420","€ 28,000","€ 1,370","€ 10,380","€ 4,880","€ 8,790"
Union Berlin,€ 425,"€ 22,080","€ 24,321","€ 1,230","€ 6,490","€ 3,290","€ 11,070"
Dusseldorf,€ 422,"€ 21,950","€ 24,178","€ 4,090","€ 6,230","€ 6,400","€ 5,230"
Freiburg,€ 318,"€ 16,540","€ 18,219","€ 1,050","€ 5,290","€ 3,190","€ 7,010"
Paderborn,€ 136,"€ 7,080","€ 7,799",€ 630,"€ 1,550","€ 1,610","€ 3,290"
Total,"€ 18,552","€ 964,780","€ 1,062,706","€ 77,600","€ 276,210","€ 235,630","€ 375,340"
