Unnamed: 0_level_0,Combined Payroll,Combined Payroll,Inlfation (2023),By Position,By Position,By Position,By Position
Club,"Gross P/W (EUR, 000's)","Gross P/Y (EUR, 000's)","Adj. Gross (EUR, 000's)","Keeper (EUR, 000's)","Defense (EUR, 000's)","Midfield (EUR, 000's)","Forward (EUR, 000's)"
Juventus,"€ 1,708","€ 88,804","€ 102,623","€ 8,737","€ 30,803","€ 27,887","€ 21,377"
AC Milan,"€ 1,419","€ 73,813","€ 85,299","€ 4,944","€ 20,671","€ 20,604","€ 27,594"
Roma,"€ 1,334","€ 69,350","€ 80,142","€ 7,054","€ 13,321","€ 27,481","€ 21,494"
Inter Milan,"€ 1,141","€ 59,349","€ 68,584","€ 4,137","€ 16,048","€ 19,284","€ 19,880"
Napoli,"€ 1,005","€ 52,244","€ 60,374","€ 6,057","€ 16,730","€ 13,260","€ 16,197"
Lazio,€ 702,"€ 36,478","€ 42,154","€ 2,390","€ 12,291","€ 9,970","€ 11,827"
Fiorentina,€ 667,"€ 34,658","€ 40,051","€ 2,127","€ 8,780","€ 8,424","€ 15,327"
Genoa,€ 541,"€ 28,136","€ 32,514","€ 2,417","€ 6,238","€ 9,371","€ 10,110"
Sampdoria,€ 504,"€ 26,228","€ 30,309","€ 1,427","€ 12,117","€ 6,614","€ 6,070"
Bologna,€ 462,"€ 24,005","€ 27,740","€ 1,180","€ 10,087","€ 6,921","€ 5,817"
Atalanta,€ 377,"€ 19,618","€ 22,671",€ 784,"€ 6,310","€ 5,284","€ 7,240"
Sassuolo,€ 375,"€ 19,490","€ 22,523","€ 2,294","€ 7,118","€ 3,311","€ 6,767"
Udinese,€ 349,"€ 18,161","€ 20,987","€ 1,347","€ 8,057","€ 5,207","€ 3,550"
Palermo,€ 335,"€ 17,419","€ 20,130","€ 1,894","€ 5,574","€ 6,094","€ 3,857"
Torino,€ 333,"€ 17,301","€ 19,993","€ 1,310","€ 6,073","€ 4,404","€ 5,514"
Hellas Verona,€ 327,"€ 17,012","€ 19,659","€ 2,183","€ 4,954","€ 5,218","€ 4,657"
Carpi,€ 234,"€ 12,147","€ 14,037","€ 1,117","€ 3,883","€ 4,187","€ 2,960"
Chievo Verona,€ 226,"€ 11,734","€ 13,560","€ 1,037","€ 3,667","€ 3,630","€ 3,400"
Empoli,€ 178,"€ 9,266","€ 10,708",€ 764,"€ 3,370","€ 3,255","€ 1,877"
Frosinone,€ 118,"€ 6,154","€ 7,112",€ 967,"€ 2,140","€ 1,577","€ 1,470"
Total,"€ 12,335","€ 641,367","€ 741,170","€ 54,167","€ 198,232","€ 191,983","€ 196,985"
