Unnamed: 0_level_0,Combined Payroll,Combined Payroll,Inlfation (2023),By Position,By Position,By Position,By Position
Club,"Gross P/W (EUR, 000's)","Gross P/Y (EUR, 000's)","Adj. Gross (EUR, 000's)","Keeper (EUR, 000's)","Defense (EUR, 000's)","Midfield (EUR, 000's)","Forward (EUR, 000's)"
Barcelona,"€ 5,457","€ 283,760","€ 318,270","€ 10,870","€ 102,410","€ 68,660","€ 101,820"
Real Madrid,"€ 4,027","€ 209,380","€ 234,844","€ 7,670","€ 47,430","€ 62,090","€ 92,190"
Atletico Madrid,"€ 1,952","€ 101,480","€ 113,822","€ 5,490","€ 30,390","€ 15,710","€ 49,890"
Sevilla,"€ 1,304","€ 67,810","€ 76,057","€ 4,050","€ 22,220","€ 26,430","€ 15,110"
Valencia,"€ 1,179","€ 61,330","€ 68,789","€ 3,710","€ 19,510","€ 20,820","€ 17,290"
Celta Vigo,€ 776,"€ 40,370","€ 45,280","€ 3,970","€ 12,010","€ 8,290","€ 16,100"
Athletic Club,€ 719,"€ 37,400","€ 41,948",€ 680,"€ 16,900","€ 8,770","€ 11,050"
Villarreal,€ 617,"€ 32,100","€ 36,004","€ 4,190","€ 6,240","€ 7,800","€ 13,870"
Real Sociedad,€ 617,"€ 32,070","€ 35,970","€ 4,860","€ 10,870","€ 7,500","€ 8,840"
Levante,€ 613,"€ 31,890","€ 35,768","€ 13,010","€ 5,510","€ 4,490","€ 8,880"
Espanyol,€ 604,"€ 31,390","€ 35,208","€ 6,160","€ 5,960","€ 10,890","€ 8,380"
Real Betis,€ 523,"€ 27,180","€ 30,486","€ 1,930","€ 10,390","€ 5,030","€ 9,830"
Malaga,€ 470,"€ 24,430","€ 27,401","€ 1,910","€ 6,710","€ 4,940","€ 10,870"
Deportivo,€ 406,"€ 21,090","€ 23,655",€ 530,"€ 9,140","€ 7,370","€ 4,050"
Las Palmas,€ 379,"€ 19,730","€ 22,130",€ 270,"€ 2,920","€ 6,330","€ 10,210"
Eibar,€ 339,"€ 17,650","€ 19,797","€ 1,180","€ 5,500","€ 4,020","€ 6,950"
Alaves,€ 303,"€ 15,770","€ 17,688","€ 1,050","€ 4,360","€ 4,370","€ 5,990"
Leganes,€ 303,"€ 15,770","€ 17,688","€ 1,050","€ 4,360","€ 4,370","€ 5,990"
Getafe,€ 278,"€ 14,450","€ 16,207","€ 2,920","€ 1,840","€ 4,870","€ 4,820"
Girona,€ 268,"€ 13,960","€ 15,658",€ 680,"€ 6,200","€ 4,620","€ 2,460"
Total,"€ 20,831","€ 1,083,240","€ 1,214,982","€ 75,130","€ 326,510","€ 283,000","€ 398,600"
